filename,instrumentation(s),rtc_bad(s),rtc_good(s),ft_bad(s),ft_good(s),afl_input_bad(ms),afl_input_good(ms),cat_bad(ms),cat_good(ms)
cwe,filename,instrumentation(s),rtc_bad(s),rtc_good(s),ft_bad(s),ft_good(s),afl_input_bad(ms),afl_input_good(ms),cat_bad(ms),cat_good(ms)
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_41.c,1.2353,0.0013,0.0014,20.0134,20.0138,1361,1181,28,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_44.c,1.2275,0.0014,0.0013,20.0135,20.0189,1347,1242,29,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_31.c,1.2046,0.0013,0.0014,20.0140,20.0137,1510,1286,28,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_42.c,1.1922,0.0013,0.0014,20.0137,20.0134,1407,1240,30,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_34.c,1.2344,0.0013,0.0018,20.0138,20.0141,1474,1142,29,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_32.c,1.2251,0.0014,0.0013,20.0138,20.0129,1420,1179,29,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_51b.c,1.2027,0.0015,0.0016,20.0146,20.0138,1360,1186,28,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_51a.c,1.2189,0.0013,0.0026,20.0130,20.0193,1467,1231,28,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_52c.c,1.1953,0.0015,0.0017,20.0132,20.0137,1633,1243,29,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_52a.c,1.2032,0.0013,0.0017,20.0128,20.0141,1477,1267,30,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_53d.c,1.1976,0.0013,0.0014,20.0134,20.0128,1417,1184,28,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_53a.c,1.2260,0.0013,0.0017,20.0142,20.0131,1419,1193,29,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_54a.c,1.2089,0.0014,0.0014,20.0136,20.0139,1405,1275,29,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_54e.c,1.1885,0.0013,0.0015,20.0137,20.0130,1397,1256,29,1
CWE369,CWE369_Divide_by_Zero__float_fgets_05.c,1.4553,0.0015,0.0016,20.0143,20.0139,1352,1191,29,2
CWE369,CWE369_Divide_by_Zero__float_fgets_07.c,1.2592,0.0013,0.0016,20.0140,20.0141,1490,1165,29,2
CWE369,CWE369_Divide_by_Zero__float_fgets_10.c,1.2431,0.0014,0.0015,20.0139,20.0136,1469,1194,28,1
CWE369,CWE369_Divide_by_Zero__float_fgets_12.c,1.2478,0.0015,0.0014,20.0132,20.0148,1366,1322,29,2
CWE369,CWE369_Divide_by_Zero__float_fgets_34.c,1.2855,0.0015,0.0013,20.0138,20.0142,1330,1184,29,1
CWE369,CWE369_Divide_by_Zero__float_fgets_14.c,1.2581,0.0015,0.0014,20.0134,20.0137,1468,1249,29,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_61a.c,1.3952,0.0021,0.0032,20.0140,20.0161,1617,1515,31,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_63a.c,1.3592,0.0014,0.0018,20.0140,20.0140,1427,1245,30,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_63b.c,1.2094,0.0013,0.0014,20.0143,20.0148,1509,1333,30,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_64a.c,1.2799,0.0014,0.0014,20.0138,20.0143,1471,1190,29,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_64b.c,1.2425,0.0018,0.0018,20.0141,20.0159,1514,1336,36,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_65a.c,1.3094,0.0014,0.0014,20.0137,20.0142,1233,1288,34,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_65b.c,1.2399,0.0013,0.0013,20.0143,20.0207,1546,1167,29,1
